what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1309088618083
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1309088618083
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1309088618084
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1309088618084
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1309088618085
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1309088618085
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1309088618086
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1309088618086
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1309088618087
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1309088618087
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1309088618088
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1309088618088
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1309088618088
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1309088618088
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1309088618089
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1309088618089
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1309088618089
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1309088618090
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1309088618090
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1309088618090
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1309088618091
started,bundle,com.google.gdt.eclipse.core,2.3.1.r36v201105092302,"com.google.gdt.eclipse.core",1309088618091
started,bundle,com.google.gdt.eclipse.designer,2.3.0.r36x201105061512,"com.google.gdt.eclipse.designer",1309088618091
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.0.r36x201105061512,"com.google.gdt.eclipse.designer.UiBinder",1309088618091
started,bundle,com.google.gdt.eclipse.login,2.3.1.r36v201105092302,"com.google.gdt.eclipse.login",1309088618092
started,bundle,com.google.gdt.eclipse.managedapis,2.3.1.r36v201105092302,"com.google.gdt.eclipse.managedapis",1309088618092
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1309088618092
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1309088618093
started,bundle,org.eclipse.wb.core,0.9.0.r36x201105061447,"org.eclipse.wb.core",1309088618093
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201105061447,"org.eclipse.wb.core.lib",1309088618094
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201105061502,"org.eclipse.wb.core.xml",1309088618094
os,sysinfo,,,"macosx",1309088618096
arch,sysinfo,,,"x86_64",1309088618096
ws,sysinfo,,,"cocoa",1309088618096
locale,sysinfo,,,"en_US",1309088618096
processors,sysinfo,,,"8",1309088618096
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1309088618096
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334",1309088618096
java.specification.name,sysinfo,,,"Java Platform API Specification",1309088618096
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309088618096
java.specification.version,sysinfo,,,"1.6",1309088618096
java.vendor,sysinfo,,,"Apple Inc.",1309088618096
java.version,sysinfo,,,"1.6.0_24",1309088618096
java.vm.info,sysinfo,,,"mixed mode",1309088618096
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1309088618096
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1309088618096
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309088618096
java.vm.specification.version,sysinfo,,,"1.0",1309088618096
java.vm.vendor,sysinfo,,,"Apple Inc.",1309088618096
java.vm.version,sysinfo,,,"19.1-b02-334",1309088618096
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1309088619165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309088619305
